period,year,month,count
2021-04,2021,04,62
2021-03,2021,03,68
2021-02,2021,02,42
2021-01,2021,01,30
2020-12,2020,12,19
2020-11,2020,11,15
2020-10,2020,10,22
2020-09,2020,09,16
2020-08,2020,08,31
2020-07,2020,07,47
2020-06,2020,06,69
2020-05,2020,05,124
2020-04,2020,04,150
2020-03,2020,03,200
2020-02,2020,02,126
2020-01,2020,01,72
2019-12,2019,12,33
2019-11,2019,11,23
2019-10,2019,10,26
2019-09,2019,09,22
2019-08,2019,08,38
2019-07,2019,07,59
2019-06,2019,06,145
2019-05,2019,05,250
2019-04,2019,04,235
2019-03,2019,03,92
2019-02,2019,02,88
2019-01,2019,01,37
2018-12,2018,12,25
2018-11,2018,11,15
2018-10,2018,10,7
2018-09,2018,09,6
2018-08,2018,08,15
2018-07,2018,07,14
2018-06,2018,06,34
2018-05,2018,05,44
2018-04,2018,04,44
2018-03,2018,03,35
2018-02,2018,02,27
2018-01,2018,01,15
2017-12,2017,12,9
2017-11,2017,11,9
2017-10,2017,10,8
2017-09,2017,09,8
2017-08,2017,08,15
2017-07,2017,07,11
2017-06,2017,06,25
2017-05,2017,05,41
2017-04,2017,04,43
2017-03,2017,03,28
2017-02,2017,02,22
2017-01,2017,01,36
2016-12,2016,12,16
2016-11,2016,11,17
2016-10,2016,10,4
2016-09,2016,09,15
2016-08,2016,08,16
2016-07,2016,07,26
2016-06,2016,06,23
2016-05,2016,05,125
2016-04,2016,04,231
