period,year,month,count
2021-04,2021,04,1660
2021-03,2021,03,2656
2021-02,2021,02,2868
2021-01,2021,01,3484
2020-12,2020,12,3470
2020-11,2020,11,3492
2020-10,2020,10,3643
2020-09,2020,09,3142
2020-08,2020,08,3091
2020-07,2020,07,3049
2020-06,2020,06,3241
2020-05,2020,05,3512
2020-04,2020,04,3984
2020-03,2020,03,4034
2020-02,2020,02,3995
2020-01,2020,01,3761
2019-12,2019,12,3626
2019-11,2019,11,3496
2019-10,2019,10,3489
2019-09,2019,09,3299
2019-08,2019,08,3279
2019-07,2019,07,3169
2019-06,2019,06,3186
2019-05,2019,05,3594
2019-04,2019,04,3725
2019-03,2019,03,3744
2019-02,2019,02,3382
2019-01,2019,01,4050
2018-12,2018,12,4040
2018-11,2018,11,4095
2018-10,2018,10,4389
2018-09,2018,09,4259
2018-08,2018,08,4182
2018-07,2018,07,4261
2018-06,2018,06,4533
2018-05,2018,05,4484
2018-04,2018,04,4761
2018-03,2018,03,4794
2018-02,2018,02,4601
2018-01,2018,01,5291
2017-12,2017,12,5096
2017-11,2017,11,4955
2017-10,2017,10,5168
2017-09,2017,09,4876
2017-08,2017,08,4929
2017-07,2017,07,4806
2017-06,2017,06,4663
2017-05,2017,05,4984
2017-04,2017,04,5232
2017-03,2017,03,5379
2017-02,2017,02,5245
2017-01,2017,01,5690
2016-12,2016,12,5318
2016-11,2016,11,4880
2016-10,2016,10,5216
2016-09,2016,09,4581
2016-08,2016,08,4679
2016-07,2016,07,4548
2016-06,2016,06,4310
2016-05,2016,05,4650
2016-04,2016,04,4884
