age,count
1,2703
2,959
3,537
4,393
5,327
6,286
7,297
8,278
9,284
10,286
11,311
12,294
13,371
14,477
15,566
16,651
17,767
18,800
19,840
20,891
21,979
22,965
23,917
24,911
25,945
26,998
27,1057
28,1198
29,1298
30,1311
31,1397
32,1434
33,1609
34,1742
35,1969
36,1977
37,2123
38,2188
39,2237
40,2442
41,2449
42,2772
43,2703
44,3002
45,3051
46,3274
47,3651
48,3972
49,4173
50,4389
51,4638
52,5059
53,5391
54,5592
55,5550
56,6013
57,6446
58,6847
59,7359
60,7318
61,7741
62,8212
63,8111
64,8670
65,8597
66,9460
67,9292
68,10001
69,10260
70,10131
71,10333
72,10954
73,11086
74,11934
75,10797
76,13461
77,13229
78,13522
79,13541
80,14837
81,15020
82,14537
83,13610
84,15368
85,14038
86,15814
87,14463
88,13859
89,13260
90,12286
91,11229
92,9949
93,8436
94,7423
95,5661
96,5397
97,3956
98,3295
99,2692
100,2068

