period,year,month,count
2021-04,2021,04,17127
2021-03,2021,03,20923
2021-02,2021,02,13806
2021-01,2021,01,14688
2020-12,2020,12,13917
2020-11,2020,11,12035
2020-10,2020,10,12886
2020-09,2020,09,13142
2020-08,2020,08,14514
2020-07,2020,07,14836
2020-06,2020,06,13758
2020-05,2020,05,13444
2020-04,2020,04,10600
2020-03,2020,03,10335
2020-02,2020,02,9566
2020-01,2020,01,10361
2019-12,2019,12,10003
2019-11,2019,11,9828
2019-10,2019,10,10642
2019-09,2019,09,10628
2019-08,2019,08,11441
2019-07,2019,07,11782
2019-06,2019,06,11310
2019-05,2019,05,11205
2019-04,2019,04,10198
2019-03,2019,03,10200
2019-02,2019,02,8994
2019-01,2019,01,10434
2018-12,2018,12,10225
2018-11,2018,11,9592
2018-10,2018,10,10258
2018-09,2018,09,10178
2018-08,2018,08,10803
2018-07,2018,07,11391
2018-06,2018,06,11030
2018-05,2018,05,10913
2018-04,2018,04,10294
2018-03,2018,03,10119
2018-02,2018,02,8710
2018-01,2018,01,9873
2017-12,2017,12,9828
2017-11,2017,11,9472
2017-10,2017,10,10251
2017-09,2017,09,10146
2017-08,2017,08,10818
2017-07,2017,07,11174
2017-06,2017,06,10560
2017-05,2017,05,10819
2017-04,2017,04,9553
2017-03,2017,03,9896
2017-02,2017,02,8670
2017-01,2017,01,9345
2016-12,2016,12,9462
2016-11,2016,11,9133
2016-10,2016,10,9668
2016-09,2016,09,9386
2016-08,2016,08,10476
2016-07,2016,07,10882
2016-06,2016,06,11039
2016-05,2016,05,10725
2016-04,2016,04,10245
