gender,period,year,month,count
Homem,2021-04,2021,04,471
Mulher,2021-04,2021,04,134
Homem,2021-03,2021,03,705
Mulher,2021-03,2021,03,194
Homem,2021-02,2021,02,726
Mulher,2021-02,2021,02,202
Homem,2021-01,2021,01,806
Mulher,2021-01,2021,01,235
Homem,2020-12,2020,12,793
Mulher,2020-12,2020,12,215
Homem,2020-11,2020,11,845
Mulher,2020-11,2020,11,233
Homem,2020-10,2020,10,838
Mulher,2020-10,2020,10,214
Homem,2020-09,2020,09,773
Mulher,2020-09,2020,09,236
Homem,2020-08,2020,08,721
Mulher,2020-08,2020,08,217
Homem,2020-07,2020,07,706
Mulher,2020-07,2020,07,200
Homem,2020-06,2020,06,756
Mulher,2020-06,2020,06,177
Homem,2020-05,2020,05,748
Mulher,2020-05,2020,05,191
Homem,2020-04,2020,04,750
Mulher,2020-04,2020,04,198
Homem,2020-03,2020,03,796
Mulher,2020-03,2020,03,245
Homem,2020-02,2020,02,838
Mulher,2020-02,2020,02,221
Homem,2020-01,2020,01,943
Mulher,2020-01,2020,01,226
Homem,2019-12,2019,12,908
Mulher,2019-12,2019,12,237
Homem,2019-11,2019,11,877
Mulher,2019-11,2019,11,223
Homem,2019-10,2019,10,871
Mulher,2019-10,2019,10,239
Homem,2019-09,2019,09,881
Mulher,2019-09,2019,09,242
Homem,2019-08,2019,08,836
Mulher,2019-08,2019,08,225
Homem,2019-07,2019,07,799
Mulher,2019-07,2019,07,239
Homem,2019-06,2019,06,799
Mulher,2019-06,2019,06,213
Homem,2019-05,2019,05,837
Mulher,2019-05,2019,05,266
Homem,2019-04,2019,04,846
Mulher,2019-04,2019,04,239
Homem,2019-03,2019,03,923
Mulher,2019-03,2019,03,255
Homem,2019-02,2019,02,775
Mulher,2019-02,2019,02,206
Homem,2019-01,2019,01,850
Mulher,2019-01,2019,01,222
Homem,2018-12,2018,12,876
Mulher,2018-12,2018,12,226
Homem,2018-11,2018,11,831
Mulher,2018-11,2018,11,220
Homem,2018-10,2018,10,826
Mulher,2018-10,2018,10,225
Homem,2018-09,2018,09,821
Mulher,2018-09,2018,09,222
Homem,2018-08,2018,08,779
Mulher,2018-08,2018,08,223
Homem,2018-07,2018,07,798
Mulher,2018-07,2018,07,187
Homem,2018-06,2018,06,720
Mulher,2018-06,2018,06,205
Homem,2018-05,2018,05,795
Mulher,2018-05,2018,05,218
Homem,2018-04,2018,04,798
Mulher,2018-04,2018,04,232
Homem,2018-03,2018,03,836
Mulher,2018-03,2018,03,254
Homem,2018-02,2018,02,726
Mulher,2018-02,2018,02,201
Homem,2018-01,2018,01,830
Mulher,2018-01,2018,01,209
Homem,2017-12,2017,12,823
Mulher,2017-12,2017,12,223
Homem,2017-11,2017,11,789
Mulher,2017-11,2017,11,221
Homem,2017-10,2017,10,921
Mulher,2017-10,2017,10,227
Homem,2017-09,2017,09,852
Mulher,2017-09,2017,09,220
Homem,2017-08,2017,08,782
Mulher,2017-08,2017,08,235
Homem,2017-07,2017,07,680
Mulher,2017-07,2017,07,204
Homem,2017-06,2017,06,690
Mulher,2017-06,2017,06,188
Homem,2017-05,2017,05,769
Mulher,2017-05,2017,05,207
Homem,2017-04,2017,04,693
Mulher,2017-04,2017,04,180
Homem,2017-03,2017,03,779
Mulher,2017-03,2017,03,224
Homem,2017-02,2017,02,732
Mulher,2017-02,2017,02,181
Homem,2017-01,2017,01,783
Mulher,2017-01,2017,01,212
Homem,2016-12,2016,12,807
Mulher,2016-12,2016,12,190
Homem,2016-11,2016,11,750
Mulher,2016-11,2016,11,215
Homem,2016-10,2016,10,778
Mulher,2016-10,2016,10,195
Homem,2016-09,2016,09,721
Mulher,2016-09,2016,09,177
Homem,2016-08,2016,08,672
Mulher,2016-08,2016,08,188
Homem,2016-07,2016,07,704
Mulher,2016-07,2016,07,163
Homem,2016-06,2016,06,654
Mulher,2016-06,2016,06,165
Homem,2016-05,2016,05,673
Mulher,2016-05,2016,05,193
Homem,2016-04,2016,04,670
Mulher,2016-04,2016,04,177
