period,year,month,count
2021-04,2021,04,143955
2021-03,2021,03,195029
2021-02,2021,02,132589
2021-01,2021,01,148820
2020-12,2020,12,141190
2020-11,2020,11,124326
2020-10,2020,10,130493
2020-09,2020,09,128972
2020-08,2020,08,143383
2020-07,2020,07,147571
2020-06,2020,06,142885
2020-05,2020,05,156908
2020-04,2020,04,125923
2020-03,2020,03,120185
2020-02,2020,02,106414
2020-01,2020,01,113395
2019-12,2019,12,111193
2019-11,2019,11,105635
2019-10,2019,10,111532
2019-09,2019,09,112312
2019-08,2019,08,118568
2019-07,2019,07,124885
2019-06,2019,06,118911
2019-05,2019,05,118736
2019-04,2019,04,110370
2019-03,2019,03,109549
2019-02,2019,02,97737
2019-01,2019,01,110373
2018-12,2018,12,110878
2018-11,2018,11,103328
2018-10,2018,10,107666
2018-09,2018,09,108897
2018-08,2018,08,115169
2018-07,2018,07,119675
2018-06,2018,06,116967
2018-05,2018,05,115068
2018-04,2018,04,107849
2018-03,2018,03,109390
2018-02,2018,02,94994
2018-01,2018,01,106838
2017-12,2017,12,107971
2017-11,2017,11,102390
2017-10,2017,10,109666
2017-09,2017,09,107336
2017-08,2017,08,114698
2017-07,2017,07,122610
2017-06,2017,06,114324
2017-05,2017,05,114774
2017-04,2017,04,107063
2017-03,2017,03,108850
2017-02,2017,02,97082
2017-01,2017,01,105899
2016-12,2016,12,105227
2016-11,2016,11,99625
2016-10,2016,10,107472
2016-09,2016,09,102873
2016-08,2016,08,111120
2016-07,2016,07,118151
2016-06,2016,06,117216
2016-05,2016,05,115315
2016-04,2016,04,112127
