age,count
0,368752
1,63822
2,21672
3,13863
4,10543
5,9256
6,8249
7,7716
8,7371
9,7369
10,7693
11,8064
12,8904
13,10712
14,14527
15,21421
16,30935
17,42066
18,51473
19,57339
20,61384
21,62552
22,62329
23,61417
24,61072
25,60297
26,60271
27,60281
28,61408
29,62103
30,63063
31,65184
32,66690
33,68151
34,69819
35,71772
36,74074
37,75960
38,78918
39,81302
40,83145
41,86888
42,91501
43,94736
44,99559
45,104712
46,110246
47,117233
48,123544
49,130055
50,137588
51,145676
52,153237
53,160771
54,168757
55,177425
56,184747
57,193182
58,200471
59,206759
60,215828
61,223615
62,230094
63,237403
64,244033
65,249202
66,256087
67,262400
68,266980
69,270542
70,276936
71,282139
72,287779
73,292115
74,298021
75,302814
76,306644
77,310354
78,314560
79,315664
80,319988
81,319506
82,317650
83,313427
84,308418
85,300168
86,288415
87,273049
88,259436
89,239649
90,219600
91,196275
92,173229
93,150771
94,127564
95,107364
96,87367
97,69820
98,55235
99,42554
100,32845
101,24070
102,17615
103,12556
104,9355
105,6440
106,4473
107,3103
108,2121
109,1531
110,1016
111,657
112,452
113,331
114,203
115,126
116,65
117,45
118,39
119,9
120,5
121,4
122,6
123,3
124,4
125,3
126,5
127,1
128,3
129,1
130,1
131,1
133,1
137,1
148,1
149,1
