period,year,month,count
2021-04,2021,04,419
2021-03,2021,03,587
2021-02,2021,02,518
2021-01,2021,01,612
2020-12,2020,12,575
2020-11,2020,11,534
2020-10,2020,10,581
2020-09,2020,09,556
2020-08,2020,08,584
2020-07,2020,07,580
2020-06,2020,06,567
2020-05,2020,05,587
2020-04,2020,04,626
2020-03,2020,03,586
2020-02,2020,02,578
2020-01,2020,01,547
2019-12,2019,12,536
2019-11,2019,11,509
2019-10,2019,10,561
2019-09,2019,09,549
2019-08,2019,08,520
2019-07,2019,07,553
2019-06,2019,06,530
2019-05,2019,05,563
2019-04,2019,04,559
2019-03,2019,03,557
2019-02,2019,02,448
2019-01,2019,01,530
2018-12,2018,12,492
2018-11,2018,11,496
2018-10,2018,10,554
2018-09,2018,09,550
2018-08,2018,08,563
2018-07,2018,07,593
2018-06,2018,06,579
2018-05,2018,05,575
2018-04,2018,04,536
2018-03,2018,03,501
2018-02,2018,02,481
2018-01,2018,01,517
2017-12,2017,12,508
2017-11,2017,11,520
2017-10,2017,10,578
2017-09,2017,09,524
2017-08,2017,08,567
2017-07,2017,07,556
2017-06,2017,06,547
2017-05,2017,05,548
2017-04,2017,04,555
2017-03,2017,03,535
2017-02,2017,02,493
2017-01,2017,01,531
2016-12,2016,12,502
2016-11,2016,11,521
2016-10,2016,10,527
2016-09,2016,09,519
2016-08,2016,08,538
2016-07,2016,07,583
2016-06,2016,06,526
2016-05,2016,05,579
2016-04,2016,04,563
